"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Homocysteine",22.5986812082585,21.9322973922858,21.4508274232383,22.0255177933492,21.7583253286872,22.1846267516076,21.7175782256341,21.490461655912,22.553811920483,22.4061727732075,21.9054239702935,22.3837041460784,21.7106885439141,21.7842565815077,21.9887090714995,21.6593121144128,20.9251346466215,21.3922644183988,21.325139793714,21.5342677233249,21.3040620267619,21.3536568082014,21.0998841584642,21.2849253719281,21.788593004541
"Homoserine",23.6390794879414,24.016898027889,24.0891831865023,24.0548544736082,24.3991045813689,23.4276560767978,23.3536546637366,24.969868187373,23.5580397661039,23.7561974292386,23.6763181291146,23.3116571191509,23.019092935671,23.0203333478892,21.4185304217476,23.73056224216,22.435861703951,22.4188800606607,22.9707290457202,23.6382915924756,23.5645702731794,23.7678741385375,23.6367727938019,23.8989854942921,23.2226368233698
"Indole-3-propionic acid",13.3340126503228,13.0281203918498,12.2916387504725,13.9291878427477,12.9031184749468,13.3964971655567,13.0789538777949,12.0305677925853,13.2833980971107,13.8307810557588,13.1935460517415,13.2059564382968,13.6324332074976,14.0346891099038,16.8112605589862,14.5297594515082,12.8943878969353,15.9293909364169,14.0905707833546,13.7830482387521,12.2252473477608,14.0149016231161,14.3911274820691,13.7985834883788,14.6763496540072
"Isoleucine",21.0211491009263,20.0579782455743,20.5151152192796,19.7581579484487,20.3975318256834,19.7023441405058,20.5764565448564,19.9784308587546,19.5062063279985,20.7518197853196,20.8986923652343,19.4932367817934,19.7400527165584,19.480885880785,18.6954015236038,19.9860998250021,19.9779396154286,19.7470541834336,20.274306444212,19.0474533360305,19.1511414841321,19.8421466522236,19.9931457862989,20.1636415415715,19.1942360497582
"Isoleucine_Leucine",25.4619466498516,24.6330804400064,24.6598223823679,24.5167011845803,24.8472388503241,24.4288163633144,24.834760492514,24.4718418549391,24.5180395548344,24.8450019170872,25.1364993069883,24.5928150362841,24.1532446860207,24.0035144831388,24.0454109338297,24.6400928228409,24.2771033871258,24.0798984660754,24.6967720811234,23.9644610570066,23.7183611207327,24.5718980953338,24.14875490075,24.3223365015268,24.2323753116279
"Isovalerylcarnitine",26.490787791317,25.2901090665055,25.8434090426752,26.3733254319779,25.8176751740979,25.4571542169782,26.2171907156404,25.4162759798544,25.1457379916876,26.3727683434801,26.5133588869709,25.1175041893253,25.1454099514046,27.4333506603331,24.0458862043968,26.3270878431271,25.1997637381429,23.6903189567399,25.7162951177829,25.2154061768798,27.48983549352,24.4755181661967,26.344167502384,25.3585670143793,25.2453160834149
"Kynurenic acid",22.0572355895438,19.6749286983182,18.5074632446319,12.344406392055,17.7442924914169,17.5092349421031,18.6871548798829,19.827435443697,19.3449594312358,19.515025931924,18.9587472651373,19.2146905648115,18.2814846755351,18.207192608697,19.2800980973866,19.0485772274475,18.4835316895299,20.2440296434137,18.7424692266356,19.7236952548902,19.5211543633123,16.6909682819786,18.3032152893403,16.8171464488049,19.0985794577622
"Leucine",20.6853471799387,19.8710986594778,19.6879881950611,19.8719008808125,20.0381540193864,19.7382761548043,20.018906646792,19.6642222908022,19.7209326115579,19.9581671651874,20.2026944115404,19.8891278318563,19.3806679932162,19.2257993333814,19.4684124775228,19.8236773262977,19.3694059890657,19.228671139075,19.7252080591074,19.2032920212381,18.7854385975068,19.8031736965987,19.2353374130345,19.4015297675852,19.5405368804852
"Lysine",26.5051714754659,26.7721884670525,26.518369817853,27.2151731909569,26.948695981893,26.5364534074335,27.0215667582414,26.7847322443509,26.5793046008462,26.3437469135254,26.6587915909539,26.6391196386686,26.7500435424011,26.6144737090826,26.5017756625497,27.0973830170108,26.2242253827136,26.4007375335606,27.2258576070988,26.858709209087,26.952364307951,27.1039616056729,26.9523409163272,27.206746131579,26.8476678245376
"Methionine",19.808461915113,21.2478884654859,21.6187979136748,21.6153594684684,22.0469803552077,21.2205329536098,21.1759228222611,21.1695334287959,21.5074279577892,20.8416929817169,21.3873036169651,21.2414346965699,20.1432708610802,19.7045077915613,19.0184707242555,20.4777844076153,20.9376087759806,20.3544104983926,19.9415598178035,21.0135756985864,20.7405302264332,20.9934324792793,20.7500591050821,20.7083297967567,19.2583611721286
"Methionine sulfone",22.0103770855345,22.1450552517484,21.6328144855877,22.2489205040628,21.9002306093825,22.3801708349834,21.9597015774241,21.9947533554436,23.234228846705,22.0536690695892,21.7084694832926,22.9277944610832,20.9995556477722,21.1351449707327,22.0126250259694,21.7277565917391,21.4066942797563,21.4286865067682,21.0175811664275,21.6719441000439,21.3420684905857,21.8017531195061,21.5693353440517,21.3005463011654,21.456902303305
"N-Acetylglutamine",23.7438710651598,23.9194844531801,24.4217351313993,24.9733777448,24.8154504555192,24.2861307938084,24.3011420693852,25.0150276682067,25.0427857179159,24.0156915281488,24.6206801439506,25.0590005621952,23.1176748264057,23.7566638535342,22.9604507804551,24.0164701833865,23.1605715001379,23.3290161928583,23.999050286662,24.5625670052602,23.3503824673479,23.8375454120629,23.4924739224149,24.2748060762024,24.1936126848335
