"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Fructose 6-phosphate",24.1243725427877,25.2339422924375,24.2244996845536,25.259049072629,24.8822739393513,24.441487665923,24.8373968130953,25.5729998658007,24.2499370887412,24.8775081328138,25.4210861154771,23.1834134900672,25.3250122473666,25.6856056206126,25.3682548086079,25.2891219323287,25.4269660805362,25.0365186961583,24.9273700066136,24.1997160124283,25.6498417323208,25.0680184032122,25.8251122145478,23.5526063612378,24.7168592024074
"Fumarate",19.1472743945005,20.2653999229221,20.254117616762,20.0948905207103,20.6216047198019,20.0347917502628,19.9656560277012,21.0253748547546,19.359408174844,19.9528427193801,20.7333111467924,19.8604521782324,20.6634120489823,20.2120913814844,20.3487974914914,21.1475844495223,20.7471528710727,20.7619700871709,21.0029790272654,21.0959014551091,21.4270760215319,21.0411290815431,20.852001006521,21.4066741020689,19.9175296426205
"Glucose",11.621123573756,11.5055571163725,7.3899180288962,7.13245562752261,7.26732644037169,10.6726541498224,9.35153616506845,7.26438545371095,12.9758354629473,12.5082031478762,9.33277023417475,13.0760484445231,11.3550208785741,8.43366327722348,8.08824004980118,10.4037464731108,9.72282173970604,10.1661299368883,11.9726928056389,12.0939901983909,10.9255049848754,11.6918249030859,9.83745306293166,12.2976864554113,8.4133964805276
"Glucose 6-phosphate",24.3152087158546,25.2333719646691,24.4331867000755,25.4726251928916,25.5961274345248,24.7534518840202,25.0135789503828,25.6851973582165,24.5257872270093,25.168869610434,25.535811007557,24.264698661323,25.8872994299655,25.7192568468679,25.0611429131309,25.7455968215396,25.7217972286062,25.1606890845947,25.4900972890884,24.1745885911471,25.5689340862426,25.2838363707809,25.6018142309691,24.1494947242627,25.1776436729408
"Glutarylcarnitine ",10.6211075505068,10.0205865994607,11.234978814009,11.7888111248064,11.4407890987515,11.3742481425775,12.4991282861438,11.0445967409116,10.4900583748252,9.22333439230549,11.0552381377898,11.4881119514715,11.7447967301118,12.1792483810068,12.2662655394201,11.3241857164988,12.5169790187293,9.70609431778948,12.4028445449742,12.0360160577418,12.0996679516695,12.0159877166539,13.4616587076319,12.4932112021982,11.1768543541509
"Glutathione",23.430182090919,23.7411948923765,23.5002315328025,23.7264391216662,23.486823250477,23.0562629097745,22.3930268991207,23.638043562413,23.4888953232696,23.261531223398,23.1246248746153,22.9142597543353,23.4165657847465,23.8223572899801,21.7893832309744,23.7295072091581,23.1201763196996,21.9797739055956,23.4227557906557,22.1955968993367,23.5277936133772,23.6970176781978,22.4914948826204,23.5530376428116,23.8143361562795
"Glyceraldehyde",15.4977750603184,15.861173814603,12.5761015404419,11.9544842571538,13.1466285373098,14.5343137609986,11.6228175738112,11.6441442899167,16.375985752834,15.8029626630924,13.981742881996,16.3920405544119,10.8682274391376,14.4494320873832,12.2593013773011,14.1139885525601,13.122385372458,12.3407113976545,15.5381473015681,16.4517586637016,14.726767841917,13.4881908544037,12.987541090183,16.4054163344842,12.1446405165915
"Glyceraldehyde 3-phosphate",18.3878896353778,19.1614539734659,18.9212114413199,19.6048627823042,18.721041661793,18.3166633939061,18.5691264251493,19.2100158065508,17.5792710497234,18.413507966913,18.5004523451949,16.6706905097986,20.1030747587028,19.6744154349013,20.3146111418614,19.7244068130417,19.1768640686245,19.6263857107913,19.0000718813507,19.6616866969117,20.7403211975841,19.1262492740724,19.6566904569028,19.5043566608407,19.398846715096
"Guanidoacetate",15.6798353322131,14.2090169324376,14.7234832473731,15.4173190006703,14.2742855227126,14.8929469431934,14.6179236532809,14.8841304312756,15.5163472968521,14.9980657873118,14.7294856970143,15.8885258778794,15.476347814449,15.9081675054991,15.7334624135388,16.1029242717382,15.5982716010578,15.8926055435981,15.1643673484516,14.943146912351,15.3205115080546,15.0368006315681,15.107435130184,15.6966982150428,15.4709511291676
"Homocysteate",15.9430926248215,16.6644420058882,14.6855160695377,14.880789188234,15.5759531746569,15.6703844878495,14.5181187770236,15.249783264818,15.7055254481283,16.7995011077102,16.486360961302,16.9444420563105,15.6195351609641,14.9341424206036,15.4454218466144,14.9613743646709,15.6288273304469,15.2735085449293,14.9481115490373,16.4837035369955,17.2584831885207,16.6560336080975,15.0262355628075,15.4093352491446,14.9592272455949
