"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_4","old_5","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"LPC(17:1)+H",0.353485360800759,-0.140200315074604,-1.51073119423719,0.877185408510186,0.419473476349977,1.01966632942352,0.240154648811336,0.125675889091604,1.6741993364794,1.40290788241445,-0.295357621109886,0.713494674179021,0.747793690440456,0.56777494250622,0.538319513953531,-0.92721462619702,-0.640558331793621,0.340123090820613,-0.905875471348174,0.565425852469555,2.10137031907583,-0.420426658077683,1.21857275504501
"LPC(18:0)+H",5.05579185033755,4.46536919552909,3.62912246945274,4.84301052900848,5.19634624961914,6.21598730109287,5.23581929020636,5.09823867178645,6.10020950977335,5.15984283651034,4.773498675601,5.12035734506965,4.3552252657279,5.34663615112816,5.15811934364608,3.37611619212568,4.4573553521331,5.80222213932637,3.15725756380692,5.35949110600266,5.54096861144325,4.77742979987947,5.93515041497244
"LPC(18:1)+H",8.99222027272769,8.32378676812765,6.97469578639901,8.75081598018808,8.31502390552006,8.79740635116113,8.71128572479566,8.71376490750509,9.28528645874922,9.64602068817422,8.69469796514745,8.85243700542052,8.36150193795362,9.06421249264269,8.86405636530239,7.4076923776293,8.2332553320457,8.19653568504476,6.80377151230248,9.1328957129978,9.86205259255471,8.54816248929219,9.07928405284873
"LPC(18:1e)+H",0.48723627940188,-0.526787594324475,-1.52299963081915,-0.236476998532887,0.292107572850773,0.749513146030195,0.246155381563688,0.105663126615948,1.29249022471487,0.27057696643253,0.784123788347723,0.135654778542845,-0.509570979217329,0.392434280191442,0.045904838826614,-1.5067220268391,-0.63540184257991,0.5624671752424,-2.09572979019492,-0.0508112537290704,1.92558222688858,-0.210253804411306,1.98971979796483
"LPC(18:2)+H",8.49771456048135,9.35993776638851,7.67647027581332,9.32124557771206,9.72211013219544,8.47327115781441,10.0172155840451,8.81199653749998,10.067237184787,9.91793172763815,9.450824684506,9.86563979247271,9.02256176895119,9.53936139877522,10.2351493744159,8.60978623236379,9.87768535725455,8.99528427875293,7.24501137588179,9.42853305102491,10.3944965407393,10.0082108721421,10.140679298395
"LPC(18:2e)+H",1.59015994405739,0.112194090024669,-0.361314061581533,0.953288196776452,0.690133962484838,2.39962436196993,0.99711911049297,0.232799031562407,0.266332843473539,1.09116892961192,1.87161956401205,1.37401555141512,1.41356222904067,0.918560941107085,1.75183515382328,-0.479276310371412,0.922786084619154,1.59683087922227,-0.057509363180296,1.12410725670504,0.414888964374957,1.6438175125643,0.677900463983242
"LPC(18:3e)+H",1.47601553669553,0.750296830231424,-0.624705019425416,1.31322029989362,0.655779767414483,1.25363949035925,1.19047586304107,1.35013942792257,1.65902562274544,2.07127576061497,1.1315674927735,1.26837727932923,0.800314331881039,1.6313930626114,1.29246883242724,-0.18975823022353,0.627352650223452,0.5933897511308,-0.847619717947639,1.50653095928013,2.31991106224786,0.959884576788647,1.6773916262987
"LPC(19:0)+H",3.64854398953653,3.13690219184723,2.53706524575236,2.30371609558257,2.87396576916774,1.75470341535604,3.09588586122254,2.85757032378535,3.3877582777515,3.19322604116197,2.68923587762267,2.63231701127444,2.43889986450119,3.3082112654532,2.93355500290587,0.293215617207343,2.34230583436489,3.69597098472929,0.532782164818309,3.13352886809443,3.14575066546542,2.75997784368952,3.51603108466032
"LPC(20:1)+H",0.576003693277631,0.450188266802669,-0.888710219889218,0.206954116267953,0.842671205552414,2.0766480592668,1.1238646735381,0.620921470892154,1.65190928446899,1.39692588056018,0.839088428361432,0.864322686442441,0.529790192689166,0.897647581475224,0.867990426625153,-1.04194025535139,0.0191371497969083,1.90590382991722,-1.7888549376155,0.577168646445995,1.80995999920738,0.448697019979628,1.43825428266127
"LPC(20:2)+H",1.12708875074654,1.01374748323887,-0.058235211491863,1.0364983837304,1.60463508943541,0.91259936470551,1.52502173649826,1.16586252413663,1.97849311201999,1.91652314662211,0.958399201866754,1.43822434695921,1.22477059883196,1.66559859464794,1.75330954429823,-0.0851047553392223,1.23214258458943,1.94285320493134,-0.74560733158303,1.13349427405951,2.30109185462475,2.05792439400483,2.60466642532925
"LPC(20:3)+H",5.3013032777989,4.90976749892936,3.73804283710988,5.74499427402325,5.74950724530902,4.42017072030817,5.0147018539221,5.22509728324918,6.16864633820748,5.49713718343429,4.89951640324416,5.6063972432987,5.16962434733531,6.22228314064824,5.28621046133331,4.17397138470559,5.1028067250792,5.22000798937459,4.49569090487684,5.10725416087911,6.28632751470386,4.98135863924345,5.87111441027082
"LPC(20:4)+H",10.0715904992921,8.81558184054166,8.89221695783852,10.0318113767436,10.0734918334076,9.06377584562932,9.61714006365328,9.69378270092496,10.2675111279411,9.83989634226166,10.441471121208,10.0613505208589,9.87380797691424,10.2009951434795,10.5125515284802,8.94895480542297,9.38020098856162,9.60808394020354,9.15808074545636,10.2559604363295,11.4850007873252,10.0909889360345,10.4729534650257
"LPC(20:5)+H",5.67338835718837,2.9665889643806,2.97782367088285,5.02833480925757,3.91608380051228,3.44169695848458,5.21293984718034,3.70311611566652,5.38354752987157,4.16592150328894,4.68058422842198,4.5285932841731,4.58337996562384,5.02966798061801,4.28101794468425,3.23681267488856,3.57803335343535,4.86789652229334,4.08661897008537,7.38717710024446,6.15088476337739,4.43541557280341,5.16065254818552
"LPC(22:4)+H",3.65787205010182,3.32405943761756,2.86221387233141,3.91553655806705,4.27550099283479,2.6835309772387,3.78131541948387,3.90171732958121,4.63054581462879,4.21761058365649,4.55905871331347,4.33587841795628,3.79772097014879,4.00493615949783,4.31646100985877,2.50962157327299,3.5893456236694,3.22553030995001,1.99013505732575,3.44510410093159,4.70324448839206,3.46579357445748,4.35075198190742
"LPC(22:5)+H",6.93947209125935,5.83653385505287,5.45719867082091,7.30181848951845,6.97559704848269,5.76411143474383,6.91141887475433,6.56980551420405,7.83139227193671,6.55705199407735,7.10501100301169,7.30419451038813,6.81023060559243,7.09145828624786,7.119788148892,5.46814809798656,6.09140302367936,6.70141810507855,5.45154624047663,7.77371057029586,7.62703409066286,6.39047472818568,6.86908544262852
"LPC(22:6)+H",7.58125202457482,4.96314553773271,4.65319076545239,6.66907451996667,5.80891522860905,6.15096092191371,6.30588216195982,5.99593502729181,6.88938801261423,7.17122034060908,7.58146150080374,6.09705418419018,6.4481239933735,6.19068727342681,7.19678401535855,5.38012021302731,5.58991356829135,7.76825204051343,5.55422887738088,8.376754973396,8.91889464774216,7.04707678948813,7.63259107400898
"LPE(14:0)-H",-2.17022125610255,-1.68924800686696,-2.73499224111752,-1.52523540599107,-1.56692650677372,-0.0430607165304686,-1.39600426793847,-2.06655601055216,-1.11100660085015,-1.06689520312911,-2.73571129304994,-2.13600843401024,-1.88648042773788,-1.1272733864961,-1.85605034249998,-2.87915389580259,-3.03312119443543,-1.56879040930165,-2.55362622463665,-2.41725959043772,-1.10530469803844,-2.48395340056954,-1.45487264307563
"LPE(16:0)-H",4.02108198534939,3.83943764550613,2.57619662436222,3.58361928557903,3.94098685723879,6.48745500148672,3.84942621965913,3.47447004450638,4.54330298740044,4.46536212987041,3.71838255972444,3.61013141060735,3.0948148356305,3.7325862883453,3.87512412161268,1.75276859806664,3.22263759852957,4.14847447032541,1.75353585560132,3.46579696423264,4.14702928630738,3.3455658381035,4.4599600262987
"LPE(16:0e)-H",0.662409972256706,-0.370827220942855,-2.45777412826398,-0.611926718709254,-0.532895659260523,1.69062232715657,-0.674468623072544,-1.1409796550998,0.827170881393724,0.881732095153794,-0.18017826634029,-0.402002275127962,-1.42194701952741,0.663310184659801,-0.33956129827208,-2.09835562367234,-1.50912582460667,0.133170868566724,-2.62338310214843,-0.163567923057044,-0.0701551608469231,-0.509976087950893,0.592329384116329
"LPE(16:1e)-H",0.810476020361672,0.090734944424819,-0.252641297265782,0.0844438069791028,0.19772184423168,4.81030240182654,-0.377579833151033,-0.127925912370602,0.126312614090771,0.852404472321624,0.297304681438785,0.183768816143385,0.483988845411292,0.24721495838449,0.522593110241493,-1.48709430981254,0.268231843899169,0.736437296498803,-0.0554181884456598,0.312332194340991,-0.539455832605633,0.0111772547280798,0.16197751805377
"LPE(18:0)-H",6.24509820313045,6.44541518294232,5.11253299059987,6.29841069507771,6.31587710187935,9.40843348496374,6.43780397046674,5.82780157729966,7.43607712231149,6.68164650355207,6.31833560366085,6.67790237003116,5.40564862453777,6.47956329434537,6.42157412286213,3.9281697427214,5.38051677104711,6.50438496667564,3.26594132473087,6.33414982538051,6.13107187175971,5.9690917613432,6.78067737515186
"LPE(18:0e)-H",0.0958218841026944,-0.614387147749033,-2.66963204139992,-0.831925198845447,-1.12322348656578,2.30331146828074,-0.999553693424529,-1.63435450763224,0.600832365280846,0.106217447124354,-0.404845548329902,-0.703092106297533,-2.16869702680964,0.189110146000945,-0.610838177636167,-3.37620823139546,-2.22248410367222,-0.151238105275422,-3.79788189609196,-0.367679049841316,-0.917268614273692,-1.05884759868887,0.263353715851213
"LPE(18:1)-H",4.69786736600088,4.04747759467257,3.26410232706387,3.88577619968715,3.86856901712622,5.90976995430202,4.0917466579272,3.94670452931213,4.65498571890634,4.98350752917906,4.03720161989785,3.91307150897589,3.55617087825653,4.03583119867957,4.16167463620188,2.41272511634971,3.4286921562155,4.10826799473181,1.83190086229283,3.92595228152228,4.38230937365255,3.5762511542694,4.22849707446297
"LPE(18:1e)-H",-1.25098638582183,-2.11939254888609,-3.73465778241928,-2.09876144675773,-2.23170895298566,0.207437691378706,-1.83926550042669,-2.43042780830524,-0.497017237740588,-0.66373358861369,-1.67246252755473,-1.86009736069248,-2.70951284085514,-1.01339276526426,-1.88941269991082,-3.73154598255081,-3.33047073424285,-1.34512441812471,-4.23362462124475,-1.87639324989783,-1.33426645115299,-2.23444168867895,-0.0191098247554889
"LPE(18:2)-H",4.88507736208671,6.04864472338599,4.307933912557,4.96094477426688,5.37504141392142,4.89709596680722,6.09665461873591,4.89880308036011,5.84668403320865,6.2027015693679,4.8655298266727,5.57404922549695,4.63923044208759,5.13441044083589,5.78308393776458,4.52584831607611,5.92941826329388,4.88889647226266,3.26153023876702,4.81516829267701,5.05911068926882,5.47210305185802,5.20877130330651
"LPE(18:2e)-H",0.449330289315341,-0.748117943708018,-0.971135481987864,-0.982821343327623,-0.747993743179799,3.39057745652429,-0.824764954425622,-0.956744403156711,-0.814626411720251,-0.112086726106249,-0.447799708982795,-0.714844746683264,-0.00433182208639323,-0.702099108109687,-0.169254495962603,-2.40735551222295,-0.448149647592976,-0.0729966176814432,-1.05062116812127,-0.88806050578424,-1.26541049156095,-0.316334569022659,0.154948445528462
"LPE(18:3)-H",-1.73775356889818,-0.698784704554831,-1.73240856381445,-1.30442088416515,-1.06448764777789,-1.69189186265041,-0.462739687336593,-2.31260258113352,-0.185161873389849,0.367096687051928,-1.59321366447844,-0.575005216835634,-1.09805930529483,-1.30405129229793,-0.951211660824909,-1.67151640515551,-0.459365073338567,-1.12542368910312,-2.78964565091884,-1.18352273913459,-1.23949041904099,-0.60811463481965,-2.2089606029844
"LPE(20:1)-H",-0.139590105128215,-0.96150404115509,-1.67509948118141,-1.59393665058649,-1.13358005530071,0.858418211528327,-0.94521679054604,-1.02756828530932,-0.363713710493672,-0.0707134233177169,-0.955816316120126,-1.0963842891202,-1.28059584077544,-1.01767575382801,-1.06764193018784,-2.85572585660988,-1.91930319956357,-0.811652127541683,-3.40117870833063,-1.38661049632096,-1.16011693701928,-1.63879579186245,-0.659017542652692
"LPE(20:2)-H",-0.323974768151081,-0.213979921264796,-1.28683990801652,-1.14097285924854,-0.446237190768739,-0.343018418183997,-0.261853647965369,-0.609716672743373,-0.116909575234496,0.440864419986369,-1.26842195551117,-0.686409305777291,-0.834581892881332,-0.508406036509507,-0.312175828024578,-2.17196860029585,-0.544814123185779,-0.366072980226054,-3.0351976693024,-1.14295439411665,-1.01426396914537,-0.210121929423577,0.362397374283672
"LPE(20:3)-H",3.89199020412902,4.44558657068405,2.41531521866299,3.51017614142391,3.98592229862692,2.64458817685896,3.79629179986932,3.64655941056797,4.17234301074792,4.52745865454998,2.61868597396213,3.71060132201149,3.32121868844416,4.39512890004098,3.46003614250626,2.4958074431586,3.40704356790912,3.35763293261373,2.30478206458046,2.93593509898088,2.81111396577012,3.12119870444926,2.71002842680361
"LPE(20:4)-H",9.35191093593363,9.25079944213639,8.50802256840562,9.03962707700441,9.28515407848396,8.99220497246576,9.143851382234,9.0317937337573,9.46577994480577,9.54223364893582,9.20955816240725,9.09316347529599,8.90168336710102,9.2084287693118,9.45107575492553,8.05823523995587,8.78525629341584,9.19639333211257,8.20802150768103,9.09680490340228,9.72333587090016,9.09233750031472,8.90649887267009
"LPE(20:5)-H",6.14968387239971,4.69003175454031,3.64941008974028,4.94687940751186,4.5250905494897,4.21939259446016,5.70359196361054,4.51361402189691,5.30556714052608,5.33215073455427,4.63827507852331,4.74822830375351,4.89982872663129,5.27129171931499,4.57340576995689,3.46725076193362,4.18682799118259,5.87219906276012,4.10231477191509,6.94334415301896,5.14250399641396,4.78630864308457,4.39916539618877
"LPE(22:3)-H",-1.07452878347864,-1.38230563727432,-1.98584058402653,-1.88618945486801,-1.20765204921989,-1.63553535421641,-1.95977469393721,-0.899495935288038,-1.08099921067161,-0.87156000063978,-1.63552739332862,-1.60502062248371,-1.84217486357955,-1.03062241812757,-1.73563567221725,-3.28432100570752,-2.21126537137083,-1.67040301327493,-3.39592873707619,-2.75274327759598,-2.23933552376329,-2.7530852919496,-1.92863191713729
"LPE(22:4)-H",4.12522252799583,4.26194045238608,3.4890787234167,3.83978021569622,4.53736684998745,3.68520026086843,3.92018463755034,4.18787735097327,4.75245313937955,4.76012141251369,4.32046572717684,4.16486776365944,3.57314374101411,4.12352468175403,4.1808373536243,2.50389976690742,3.36344877689732,3.44896185220034,2.13711017342956,2.92305956607039,3.78184825010038,3.26039621503836,4.47971475561973
"LPE(22:5)-H",6.33094721668664,6.06959966930947,5.36337490963996,5.9986693127433,6.20468190532988,5.27823039243874,6.22569119038095,5.87936711341807,6.53454830410488,6.09752533990587,5.70308726981653,6.110152601357,5.99464300659148,6.04298957884813,5.99977283293776,4.79619045445977,5.4137200358584,5.93923136029196,4.77951846811292,6.44959292059465,5.55974808142369,5.36988042922745,5.57521858120879
"LPE(22:6)-H",7.540205075084,6.47270700610857,5.34590477618781,6.13914071461963,6.0688544876679,6.44728343805008,6.52148960523871,6.37664922698473,6.29826192371938,7.64933336448804,6.63289502687638,5.90461947583444,6.39478760233506,6.10266280101069,6.93352031955349,5.34156620344107,6.16253375807585,7.35247404451612,5.5484614690471,7.56546190314445,7.18877742564235,6.88840377995208,6.04569872043869
"PC(14:0_20:4)+HCOO",5.37657368865395,10.2823572864767,7.70996535078341,6.60278306429258,10.2848050091085,10.1220550117255,7.86915390269207,6.78239897794582,5.51577086064921,9.19031065211594,6.22062208671945,8.68821340959344,8.81802217563888,9.31287944721739,8.84230959786163,8.58855155386071,8.60187655580106,5.07323359039222,10.5890078672726,8.48853418769931,5.36988415215013,7.68501884432403,3.93890584902951
"PC(15:0_16:0)+HCOO",3.07863403379006,8.47539443277826,4.24891509342801,4.62130495927929,8.39200226984166,7.43717248221512,5.49236403920256,5.05882993177698,4.8641859584042,7.18379865901352,2.19508222040324,6.64500521522963,6.7545740105482,6.24099912919003,6.55742082747224,5.99064195037154,7.60137962651444,3.53802897625287,7.70060753612327,6.03693161300231,5.28653984906905,5.32647610492453,3.22931297885271
"PC(15:0_18:1)+HCOO",5.65094458238451,10.9024483463603,8.26854109596923,6.90935740074336,10.4339927056039,10.7567329217719,7.63904804361165,7.42175217221891,6.09110915151674,10.1283271635086,6.23302396537052,9.01744907154531,9.73894598293492,8.83971860102287,8.94626726257438,8.52997291255123,9.3795459133737,5.26951303922421,10.5064333782265,8.80560261717122,6.01833163153033,7.84905200735459,3.84824481440043
"PC(15:0_18:2)+HCOO",3.5099007610067,10.25294180979,7.34487437922404,6.28293706283918,10.1469374748728,9.30223520991542,7.37791789798293,6.01171096521918,5.36310081412683,8.77095345527995,6.06865545894975,8.58741262226626,8.67569965611772,7.46852122407003,8.79883737112868,7.98820483079066,9.80413687199376,4.62720369211267,9.58944615634974,7.7698954464996,4.80311762205588,7.78503546723367,3.47638808051977
